session_duration,bytes_from_server,pages_visited,bytes_from_client,failed_logins,anomaly
271,314500,9,10867,0,0
269,120316,5,18029,0,0
287,371333,9,21252,0,0
310,308778,10,26057,1,0
257,470182,11,6073,0,0
270,488716,8,17242,0,0
364,301459,12,11008,0,0
296,307951,12,11135,1,0
323,423706,9,46203,1,0
350,143106,12,10573,0,0
316,491124,11,49062,1,0
319,401296,8,22750,1,0
74,3441,3,141,1,1
298,319565,10,47598,1,0
353,166492,8,8432,1,0
340,316847,11,41483,0,0
194,379793,11,36097,1,0
348,298500,13,24880,1,0
267,161279,12,19892,0,0
276,269724,12,37651,0,0
323,282041,11,15570,0,0
381,312425,11,48129,0,0
357,385938,8,22551,3,0
274,390941,6,17997,0,0
240,487280,7,15553,1,0
379,168413,8,13881,2,0
306,67727,12,22558,1,0
374,369200,15,17177,1,0
64,4215,1,551,9,1
363,456845,11,32405,0,0
217,225211,10,32773,0,0
288,255244,13,32464,0,0
317,258786,13,25923,0,0
44,709,6,264,3,1
288,366759,13,45722,1,0
34,4293,3,948,6,1
313,426188,9,11869,0,0
282,246133,10,9938,0,0
73,3938,5,864,8,1
313,308503,16,5615,0,0
346,335555,7,39782,0,0
287,247576,10,24522,1,0
289,56154,12,28154,1,0
-1,4393,3,603,4,1
267,385441,12,47939,0,0
318,404591,10,38979,1,0
353,272317,11,42203,1,0
368,395454,13,13226,2,0
320,296860,16,22174,1,0
254,207702,9,38040,1,0
309,383770,9,14290,0,0
279,189999,10,41948,0,0
414,103551,12,8159,3,0
333,190272,10,43220,0,0
317,123861,11,30855,0,0
347,148540,5,9922,0,0
319,351454,13,45025,1,0
273,140517,12,14265,0,0
238,209033,14,40932,0,0
42,4051,2,736,6,1
255,282549,11,45437,0,0
347,127475,9,32540,0,0
340,288360,9,48298,1,0
338,470640,10,27886,0,0
306,194353,7,34978,1,0
298,61745,5,16087,3,0
226,321221,10,22793,1,0
267,207087,14,24953,0,0
214,144018,14,27616,0,0
333,182632,10,33369,0,0
358,343199,7,20804,0,0
48,2663,4,733,4,1
291,263277,11,21574,0,0
240,167832,12,45150,1,0
415,60699,6,25008,0,0
330,482659,8,18840,0,0
225,271097,9,10618,0,0
240,84531,9,8744,1,0
36,604,4,301,9,1
212,84707,7,21972,0,0
76,2265,1,973,6,1
265,170030,7,38073,1,0
290,328453,9,10930,0,0
237,67633,9,34703,0,0
276,268118,14,8981,0,0
334,437009,6,32388,0,0
274,476390,13,39924,1,0
389,279189,14,25039,0,0
335,157971,13,6462,1,0
392,62149,13,20905,1,0
281,95033,5,14916,1,0
167,131929,10,42244,1,0
341,417505,8,22027,0,0
322,284386,13,40340,0,0
365,109321,8,16618,0,0
289,105230,15,43170,0,0
377,345286,8,24878,0,0
356,322369,14,43328,0,0
204,317770,9,39036,0,0
16,4778,2,644,6,1
268,160677,9,17755,1,0
320,114324,5,22653,2,0
224,446605,6,37284,0,0
339,150734,9,25827,0,0
305,152747,6,47771,1,0
388,177834,11,13334,1,0
376,498625,17,43679,0,0
362,126153,7,35734,0,0
309,358037,12,38189,0,0
219,483098,16,26042,1,0
325,246049,7,34086,0,0
284,397697,14,17853,0,0
250,466495,14,45696,0,0
280,438076,10,31140,0,0
42,1720,1,398,5,1
230,284565,7,39158,0,0
33,1371,2,737,2,1
286,317926,8,27504,1,0
301,92668,10,10753,0,0
243,437960,11,34098,1,0
333,99153,7,38030,0,0
306,466715,13,42292,0,0
304,81585,14,44133,1,0
326,255735,8,17615,0,0
244,319295,11,13488,0,0
305,139186,7,19629,0,0
285,281758,14,49632,0,0
302,408796,12,30274,0,0
285,76160,10,26598,1,0
278,416040,10,47422,0,0
378,442136,8,43914,2,0
287,376250,8,21184,0,0
321,317253,6,18990,1,0
82,3013,2,769,5,1
327,78625,12,49463,1,0
278,59715,5,43185,0,0
368,81598,8,34845,1,0
365,132879,12,7575,0,0
73,1877,5,901,4,1
274,459379,9,10603,0,0
303,383175,8,39836,1,0
255,212932,12,11411,2,0
264,190507,10,48000,1,0
320,377025,11,22130,1,0
42,2821,4,525,3,1
196,335855,8,34769,3,0
306,321090,10,33412,0,0
351,346037,10,33022,0,0
33,2886,3,462,7,1
212,380033,6,19859,0,0
292,164099,13,12951,0,0
332,176209,10,20216,0,0
176,165142,9,10602,2,0
316,397022,12,14316,1,0
32,1257,4,961,3,1
257,411448,15,22696,0,0
276,136652,11,11533,0,0
35,4486,1,646,3,1
252,204268,6,6079,0,0
189,273131,9,24680,1,0
247,456723,8,47847,2,0
393,207732,6,26067,0,0
311,380721,11,25597,0,0
24,1292,2,829,5,1
311,231002,7,44346,0,0
266,465231,8,35499,1,0
376,492061,6,23613,1,0
231,146347,11,29489,1,0
271,160169,12,8786,1,0
301,393581,7,45157,0,0
364,275314,13,22303,0,0
296,440530,14,5864,0,0
241,463553,15,37092,0,0
285,195360,14,12697,0,0
260,388076,6,15900,1,0
292,201094,6,5390,0,0
374,249950,10,14615,0,0
45,2388,1,566,7,1
217,280008,7,20474,2,0
369,218757,10,19626,0,0
294,388511,14,43650,2,0
405,351207,12,10037,0,0
338,55704,10,44449,1,0
33,2926,7,229,7,1
49,2665,3,190,1,1
288,142124,11,29368,0,0
251,494717,11,16110,0,0
289,56570,13,31299,0,0
313,410027,13,35005,1,0
382,131941,7,26164,0,0
286,454777,16,11089,1,0
333,233362,8,20581,1,0
301,281055,9,30783,0,0
258,111272,8,37698,0,0
376,307368,12,44255,0,0
270,273224,6,20966,0,0
300,196649,10,7031,1,0
357,76431,3,49940,0,0
49,1570,3,286,7,1
237,140827,15,36086,0,0
329,208280,10,14643,1,0
327,268335,11,7077,0,0
256,256376,6,15905,0,0
368,349058,12,16440,1,0
318,263030,9,13044,0,0
331,381054,16,11358,0,0
258,96819,8,22065,0,0
334,191826,11,26045,1,0
343,285458,8,19342,1,0
290,78380,6,27490,2,0
357,244555,8,23350,0,0
308,424562,6,49237,1,0
259,400541,6,12797,2,0
247,169273,8,7062,1,0
246,100861,8,38367,1,0
55,3322,2,106,3,1
34,2118,3,822,7,1
298,220963,5,45537,1,0
395,362282,16,6141,0,0
294,449854,9,33112,0,0
295,339060,8,38672,0,0
273,129141,13,8917,0,0
23,2600,0,656,6,1
353,493324,13,41133,0,0
338,214134,7,19209,1,0
264,78541,9,9103,0,0
244,315856,13,10730,0,0
319,267285,9,47674,0,0
220,155823,12,34850,1,0
288,76155,13,40163,2,0
296,225915,7,36898,1,0
21,1334,1,338,8,1
349,93585,8,35225,1,0
312,81348,7,23324,0,0
49,1985,2,267,6,1
250,337681,12,36658,0,0
352,74596,12,9340,0,0
332,79165,16,49306,0,0
279,333780,10,40755,1,0
388,90390,9,21932,0,0
274,468827,11,11470,1,0
325,182311,8,49439,0,0
264,388041,9,26199,0,0
343,470706,10,15846,0,0
273,243510,15,12297,2,0
348,172720,11,5375,0,0
201,449756,11,13386,0,0
326,196323,6,28988,2,0
337,315064,10,35908,1,0
303,224668,9,10650,0,0
288,181733,10,38798,0,0
270,151376,7,39806,0,0
312,226313,10,40414,0,0
229,436542,10,20327,1,0
295,255768,3,32777,0,0
324,451927,12,30216,1,0
230,118388,12,48492,1,0
355,423966,10,5507,1,0
233,436601,12,5798,1,0
355,466387,9,47224,0,0
325,142241,13,7537,0,0
334,281447,7,21122,2,0
236,214827,8,17940,0,0
290,53726,9,20997,0,0
231,162020,15,46984,0,0
297,316258,12,25918,1,0
316,447686,6,32281,0,0
277,485456,16,17466,1,0
296,135708,6,46612,1,0
410,330783,12,39753,0,0
359,233305,7,31025,0,0
403,282944,12,31478,0,0
358,412638,13,44439,0,0
44,3785,3,653,5,1
305,446309,9,12148,0,0
57,3683,2,245,3,1
257,243118,12,49231,0,0
251,86877,8,11719,0,0
332,195788,11,33132,2,0
268,341385,6,12189,1,0
275,160198,10,40328,0,0
303,448992,19,35791,0,0
259,312805,6,13921,0,0
332,166891,11,20310,1,0
358,392962,10,20848,1,0
313,448871,8,39754,1,0
349,391815,7,29604,0,0
317,344923,14,26292,0,0
377,395114,13,12754,1,0
297,222307,10,46798,0,0
348,179749,9,40912,1,0
270,279947,6,48169,0,0
349,306353,15,6577,1,0
238,214053,11,9875,1,0
348,279027,11,34793,1,0
268,447653,4,31181,0,0
262,132503,14,45037,0,0
330,142578,13,28849,1,0
311,242860,14,35425,1,0
317,241184,5,44099,1,0
379,141659,9,34327,1,0
264,328600,11,10074,0,0
454,171863,6,33091,0,0
378,338173,5,7776,1,0
93,3547,3,470,1,1
310,267029,13,49066,1,0
267,369804,8,43367,0,0
339,357003,10,23624,0,0
314,118619,12,47267,0,0
407,468219,14,48123,2,0
416,106985,6,6893,1,0
43,3808,3,492,2,1
346,422592,7,45644,0,0
247,479660,9,47230,0,0
44,1211,2,669,8,1
331,321830,8,47256,1,0
336,202876,14,30625,1,0
309,435941,9,20995,0,0
316,296242,16,42480,1,0
313,213268,13,42710,1,0
342,385914,6,26638,0,0
258,399410,9,24053,0,0
331,449492,7,47614,0,0
197,209476,8,21940,1,0
309,322900,8,44094,0,0
34,2323,3,932,3,1
273,485423,11,25947,0,0
338,59110,9,35063,2,0
271,67772,12,10296,0,0
217,117203,16,47833,0,0
324,223724,5,5901,2,0
330,245246,9,49220,1,0
22,4881,2,209,9,1
321,488566,7,44164,1,0
281,480783,15,36899,0,0
257,475106,12,37113,3,0
325,86059,16,33706,1,0
63,2827,0,842,5,1
233,360748,8,11691,1,0
287,323797,14,40315,0,0
344,141878,8,5463,0,0
311,107993,12,37966,0,0
274,499042,15,8332,0,0
250,265400,11,16695,1,0
305,460303,10,43196,0,0
253,346141,11,22400,0,0
255,308722,10,46513,0,0
355,268008,11,18798,0,0
310,325813,12,25590,0,0
206,389720,13,42782,0,0
336,228686,10,14095,0,0
301,216205,7,39493,0,0
274,91846,10,10060,1,0
291,369516,10,26153,0,0
236,122588,10,35607,1,0
358,303627,10,35254,1,0
202,212962,6,22848,0,0
326,230225,14,13346,2,0
299,207795,6,43244,1,0
295,246733,16,35720,1,0
303,122715,14,41358,0,0
312,478048,12,9873,0,0
246,418805,7,45745,0,0
305,493893,9,49148,1,0
273,236321,10,10596,2,0
306,405891,3,49362,0,0
219,158737,13,45874,0,0
316,318615,12,5490,0,0
36,783,0,897,5,1
245,288976,4,46004,2,0
260,141736,7,22575,0,0
332,131889,10,43353,1,0
279,280662,6,42016,1,0
301,207661,15,23542,0,0
305,275160,14,28283,1,0
281,81401,12,37264,0,0
312,470814,10,34351,1,0
263,336370,12,46505,2,0
392,430298,4,23565,0,0
259,302859,6,23028,1,0
388,83320,12,45475,0,0
249,426158,9,9603,0,0
392,386664,13,26029,0,0
355,440103,13,35024,0,0
262,287697,5,23690,0,0
223,419947,9,35916,1,0
169,194097,14,47079,0,0
423,291531,11,25955,1,0
278,399307,10,7580,0,0
58,2720,4,436,8,1
255,433894,12,43871,0,0
292,234403,12,21755,0,0
290,296693,13,42997,1,0
306,327707,15,17070,0,0
210,247096,11,48240,1,0
248,176945,10,40081,0,0
326,421000,6,11559,0,0
265,102930,12,19022,0,0
43,3186,1,439,5,1
326,364451,6,48403,0,0
259,338161,10,33926,0,0
67,735,4,275,1,1
31,1117,6,407,3,1
73,4082,3,991,3,1
394,95379,7,17021,0,0
317,239420,12,34320,0,0
297,187084,7,35232,1,0
280,487629,11,43687,0,0
277,178232,8,41635,0,0
214,83397,11,49116,0,0
239,86321,12,33379,1,0
285,123609,9,18210,1,0
294,376032,14,49439,0,0
331,122099,7,39069,0,0
395,281809,9,25469,0,0
290,336233,10,24037,0,0
274,70609,13,30464,1,0
251,109182,11,45734,0,0
325,251659,8,36670,0,0
229,482430,9,38377,0,0
252,199381,10,16781,0,0
287,210081,8,15450,0,0
235,210928,9,16279,1,0
378,232958,7,16706,0,0
291,90461,10,34424,0,0
276,492111,10,21374,1,0
336,160641,11,12987,1,0
373,211087,15,47932,0,0
277,94738,11,32832,0,0
87,2927,2,484,6,1
236,210400,5,18386,0,0
56,1564,1,224,5,1
239,188299,11,43990,0,0
274,376818,9,20882,1,0
47,2605,2,648,2,1
232,438070,7,9239,1,0
265,373694,10,41386,1,0
350,206498,7,18851,0,0
293,339102,11,5692,1,0
272,218383,6,46804,0,0
250,426369,9,33633,1,0
257,348522,11,19605,0,0
334,364470,17,36371,0,0
436,395453,10,25423,1,0
75,3793,4,700,5,1
303,228589,13,39028,1,0
299,259373,9,7080,0,0
287,233321,14,26435,0,0
224,337313,10,45801,1,0
259,341570,13,48390,0,0
198,393681,15,16410,1,0
292,284182,9,19997,0,0
262,85585,16,22796,0,0
353,292997,8,9837,0,0
215,281513,7,12036,1,0
284,298656,7,25013,0,0
320,264432,13,41854,1,0
318,339226,18,18731,1,0
394,171999,12,7881,0,0
407,469961,9,34001,0,0
308,86035,9,16516,0,0
375,272500,5,28047,0,0
312,310550,9,33572,1,0
341,282732,6,32564,0,0
310,472587,10,35329,0,0
318,376322,7,11477,0,0
258,101195,4,38691,1,0
228,202360,9,32241,4,0
199,101047,9,33931,1,0
246,296958,6,12235,1,0
242,229362,15,5935,1,0
53,4306,9,266,1,1
288,485503,10,34809,2,0
373,69169,19,27388,0,0
276,208059,6,40461,0,0
250,135530,6,19252,0,0
298,445196,6,9054,0,0
368,344700,9,19318,1,0
331,177556,10,20689,2,0
285,202499,8,16085,1,0
390,84594,6,26991,1,0
35,2504,2,155,6,1
261,146059,9,29846,1,0
278,345806,13,19327,0,0
277,303973,7,10197,0,0
289,310116,7,29594,0,0
319,358311,7,33621,2,0
62,4732,3,696,8,1
298,342826,10,47543,1,0
313,81007,13,16970,0,0
249,148511,4,37157,0,0
296,284554,6,34831,0,0
261,169503,9,11297,0,0
299,391705,10,37263,1,0
312,329922,11,15073,0,0
52,834,3,427,5,1
315,172413,17,20470,0,0
329,466235,5,25245,0,0
342,312351,12,20511,1,0
316,204893,5,32236,0,0
292,69975,16,12933,0,0
56,3674,4,660,4,1
220,482043,13,44522,1,0
286,89062,9,41630,0,0
362,252332,10,27366,0,0
274,420321,9,6378,0,0
305,151757,10,25900,3,0
229,182079,6,34092,0,0
255,68752,8,7716,0,0
321,174982,11,12037,1,0
363,222395,4,41736,2,0
293,391674,13,46913,1,0
281,295014,13,7962,0,0
260,194539,10,47058,1,0
234,188563,5,12206,2,0
341,304225,8,48059,0,0
283,442550,12,32052,0,0
279,169264,8,39980,0,0
375,87384,20,32223,1,0
253,122240,9,40139,0,0
272,411008,9,26181,1,0
315,323680,9,12493,2,0
329,435773,9,26999,1,0
343,189978,14,18900,1,0
282,157522,13,6375,0,0
301,254451,12,30791,1,0
316,375996,11,39152,2,0
272,280983,9,26316,0,0
259,411403,4,42167,1,0
276,468899,6,12008,0,0
299,456889,16,45005,0,0
97,3610,3,313,6,1
278,495864,9,25690,1,0
315,463198,3,21309,1,0
305,273725,16,44932,0,0
261,295900,8,11772,1,0
331,438590,5,7035,1,0
272,218484,11,15310,0,0
335,185327,11,10586,1,0
273,208285,11,37567,1,0
337,475333,6,12601,2,0
336,212982,9,14873,0,0
44,4345,3,743,1,1
251,153409,9,14190,0,0
102,3829,5,501,6,1
264,298512,13,31270,0,0
47,1886,1,125,9,1
324,494243,7,7994,2,0
272,60382,6,40918,2,0
259,472975,6,11828,0,0
249,343719,13,38783,0,0
297,331652,7,44884,0,0
317,426826,15,46486,0,0
58,712,2,338,5,1
70,1530,4,815,8,1
338,320269,11,26650,0,0
46,2224,0,552,6,1
294,173008,1,23610,0,0
238,133186,16,22576,1,0
282,54358,9,5178,1,0
311,495346,8,28649,1,0
354,204470,7,39420,0,0
242,373390,8,27056,0,0
54,1813,2,996,5,1
231,208492,13,13531,2,0
82,1418,1,563,6,1
335,226037,9,47742,1,0
334,262977,7,30868,0,0
202,428097,9,26267,0,0
45,2666,0,673,3,1
408,151459,13,29849,1,0
271,62115,6,7936,2,0
62,1859,4,480,8,1
269,115450,13,10454,0,0
222,66014,6,16772,2,0
334,223757,6,45205,2,0
309,119298,9,17254,1,0
371,271427,8,44182,0,0
269,241703,8,46311,0,0
328,480424,7,24281,0,0
51,4919,4,677,6,1
233,269249,13,21766,0,0
357,185832,10,39650,1,0
37,1714,2,772,5,1
358,124744,9,12371,1,0
49,1055,3,515,4,1
266,97837,8,34377,0,0
274,385126,10,27706,1,0
62,1248,5,639,4,1
432,376459,8,6515,1,0
299,188496,10,45222,0,0
303,279465,19,26924,0,0
336,377825,12,41444,1,0
260,471818,10,41634,0,0
388,321991,9,10506,0,0
303,273536,12,5924,0,0
254,118008,11,24773,1,0
277,192635,8,42298,2,0
309,92828,13,15785,0,0
283,125388,17,6191,0,0
338,397120,8,27778,1,0
331,74860,2,7172,0,0
317,380904,10,43736,0,0
302,69816,12,46183,1,0
80,4845,2,745,2,1
326,386585,11,18543,0,0
310,138204,9,19175,1,0
319,68073,7,39159,0,0
428,368693,8,31928,0,0
277,125713,10,20029,0,0
276,243783,8,31220,0,0
310,488755,9,27191,2,0
251,216129,12,39581,0,0
356,412246,11,29920,1,0
352,309931,11,47037,0,0
331,295378,12,9386,0,0
309,81367,13,31426,0,0
384,275049,10,27092,0,0
367,164793,9,34863,0,0
320,350611,11,5731,1,0
325,212624,6,16357,0,0
138,227235,10,23157,0,0
333,358557,8,28464,0,0
315,332193,12,30488,0,0
317,348090,10,40892,0,0
313,312670,12,29704,1,0
296,400877,9,49414,0,0
283,315798,13,5220,1,0
355,254894,11,18668,2,0
304,439113,8,27837,1,0
329,376453,13,23445,1,0
384,98320,11,22197,1,0
234,364242,6,31681,0,0
238,496841,13,25350,0,0
315,307681,12,22118,0,0
67,3483,3,664,3,1
351,62323,9,34265,0,0
293,261830,12,11191,0,0
264,438647,9,16927,1,0
311,368647,12,37088,0,0
239,428544,8,29495,1,0
324,484904,5,49950,0,0
230,481374,8,45542,1,0
359,252043,8,20386,0,0
211,480866,9,49432,2,0
309,288260,13,33179,2,0
34,1638,2,310,4,1
308,486624,13,20882,0,0
375,490097,11,13219,0,0
281,191398,14,37021,1,0
342,120326,12,20284,1,0
220,432729,6,33557,0,0
370,76385,11,14726,0,0
324,207215,9,22241,1,0
354,295198,6,39675,0,0
215,220102,17,42038,0,0
276,175150,14,46750,0,0
263,367348,17,46439,0,0
31,3023,5,455,4,1
265,357257,13,26493,1,0
12,820,3,899,8,1
312,228936,7,19559,0,0
282,79984,9,19645,0,0
275,482557,6,24162,1,0
304,472950,10,17632,0,0
300,161453,10,14627,2,0
328,75592,6,24581,0,0
335,462417,12,37335,0,0
324,126329,8,6605,2,0
9,2430,4,352,5,1
304,424899,15,12833,0,0
383,330887,6,9818,0,0
58,4367,1,205,7,1
251,427539,16,25863,1,0
311,272724,6,20240,0,0
45,4303,6,475,3,1
380,497907,7,10622,1,0
298,318865,9,41942,0,0
271,457700,8,40685,0,0
317,398619,12,18009,2,0
44,2158,4,631,7,1
258,359199,5,47814,0,0
228,255209,9,19414,0,0
353,169968,10,14158,1,0
298,388404,11,34122,1,0
248,262112,8,37230,0,0
303,325001,16,18666,0,0
358,246553,9,10033,0,0
302,246713,9,41405,0,0
401,343894,10,6907,0,0
238,308517,10,6627,0,0
196,285128,11,5515,1,0
348,490280,5,21555,0,0
53,3792,2,743,5,1
244,303334,11,38214,1,0
267,59078,11,37696,0,0
354,341126,17,6462,1,0
244,282601,15,32856,1,0
284,386275,10,12354,0,0
288,432035,5,29299,0,0
336,263567,10,45388,0,0
360,216370,8,24065,0,0
385,141658,7,29648,2,0
316,247133,5,31123,0,0
322,74826,12,30373,0,0
326,457426,13,29900,1,0
294,226048,13,33311,0,0
292,136365,10,27499,0,0
379,391292,5,36728,0,0
344,250422,17,31347,0,0
262,194832,7,9675,0,0
276,262133,12,16826,0,0
32,2913,3,883,2,1
352,433381,12,25213,1,0
224,154061,11,33805,1,0
230,229436,12,14927,0,0
276,473875,12,25425,0,0
235,113646,11,31337,0,0
40,1237,5,805,4,1
43,1805,3,740,6,1
40,3595,3,515,4,1
311,253502,9,27444,0,0
271,111929,7,42425,0,0
277,236994,13,37479,0,0
286,449657,9,47624,1,0
314,283782,15,35480,1,0
276,212396,14,7887,0,0
78,3068,2,586,5,1
339,245804,15,36334,1,0
353,201175,4,28474,1,0
275,198554,11,10581,0,0
325,265048,12,15762,0,0
346,329158,5,5066,0,0
333,320856,8,32332,1,0
262,168516,5,14943,1,0
239,133807,9,8809,1,0
342,415898,7,19745,0,0
256,304346,12,12130,3,0
429,464891,15,45581,1,0
341,55901,9,20960,1,0
324,278590,7,29327,1,0
423,140373,13,49659,1,0
51,2914,2,812,3,1
215,460841,7,6129,0,0
227,294459,11,20886,1,0
284,129973,7,15304,0,0
260,493002,10,29941,0,0
269,160944,11,20187,1,0
341,290069,13,10974,1,0
282,393715,8,44683,1,0
398,373356,7,43599,0,0
313,190180,14,28067,1,0
330,168947,12,36105,0,0
326,347632,7,10696,3,0
234,285806,11,24627,1,0
246,358623,13,11221,0,0
368,394333,7,14782,1,0
298,124069,6,25711,0,0
268,395506,11,43737,0,0
288,226076,17,47904,2,0
288,239004,8,8009,0,0
269,448465,9,41561,0,0
287,360512,10,12349,0,0
58,3578,6,684,8,1
314,231187,14,47481,0,0
383,366397,13,49130,0,0
329,101924,11,24023,2,0
291,176888,15,7795,2,0
324,479667,7,5787,0,0
300,345900,9,11638,1,0
278,360375,9,10178,0,0
317,367898,9,42356,1,0
289,216703,7,8729,0,0
247,295011,9,17720,0,0
230,223895,14,30425,0,0
353,333097,18,12452,0,0
299,448300,13,30097,1,0
331,145673,14,20881,0,0
289,439954,8,13802,2,0
318,495485,10,47431,0,0
254,255390,9,37467,1,0
319,313579,10,34007,0,0
426,154211,13,39758,1,0
263,177118,9,13792,1,0
344,490630,5,26473,0,0
332,239648,15,28122,0,0
409,151520,15,43308,1,0
314,495795,10,16569,0,0
359,142324,7,45902,0,0
230,252903,6,48628,0,0
325,282750,8,22857,0,0
324,390858,8,47330,0,0
256,86487,11,32052,1,0
341,211779,6,9042,0,0
245,173786,12,10247,1,0
185,335055,10,19506,0,0
297,205683,9,23255,0,0
305,333707,13,42371,0,0
23,2294,4,604,6,1
217,254456,12,44661,0,0
349,498330,12,43333,1,0
51,733,4,291,7,1
341,57813,8,25811,0,0
372,194467,7,13181,1,0
214,456203,7,38065,0,0
393,129083,9,39844,1,0
337,231264,13,33992,0,0
304,138009,9,46863,1,0
260,437962,13,30785,0,0
296,114288,6,38066,1,0
295,215575,12,37728,0,0
261,424504,14,49348,1,0
310,306911,14,33129,0,0
266,165374,11,37083,0,0
299,180513,6,47065,1,0
284,436821,9,39246,1,0
269,453322,12,5893,0,0
297,377252,13,25470,0,0
309,344054,10,30363,0,0
265,164994,10,14121,1,0
352,484837,9,9616,1,0
346,414359,8,9633,0,0
301,279104,11,36926,0,0
302,196470,14,41824,1,0
260,295546,3,31027,0,0
59,1009,3,493,6,1
226,106273,7,11380,1,0
377,137468,5,38751,0,0
307,148818,15,5946,0,0
328,219631,9,38709,0,0
339,377599,15,45299,0,0
279,85643,14,13876,0,0
261,159847,12,8084,0,0
270,388763,8,10798,0,0
265,389375,13,43498,3,0
329,355897,12,43417,0,0
370,126559,8,8158,0,0
272,175541,8,20859,0,0
320,98901,17,28382,1,0
280,159834,9,9758,1,0
271,455804,10,44516,0,0
293,462003,6,24226,0,0
46,2501,4,204,5,1
51,878,3,688,6,1
404,408690,11,33756,0,0
289,409912,11,22046,1,0
253,360931,13,22627,0,0
341,253667,13,48512,1,0
221,365507,8,33350,1,0
302,391278,15,9270,0,0
334,181691,6,10515,1,0
273,284746,10,19308,0,0
311,185720,11,6184,0,0
348,334186,14,23748,2,0
272,455417,14,13448,1,0
307,61138,10,11449,0,0
360,375593,12,35341,0,0
312,440411,15,26061,0,0
264,409687,16,46932,0,0
294,445141,11,18945,1,0
204,213038,11,13635,2,0
301,182028,8,13750,0,0
338,368232,9,33967,0,0
394,111367,11,32843,0,0
301,145081,11,20540,1,0
341,361412,11,21626,0,0
298,88067,13,13307,3,0
62,1759,3,300,6,1
165,169735,10,42344,1,0
304,317039,9,36973,1,0
262,480596,10,35951,0,0
39,4190,3,136,8,1
267,366205,5,47049,1,0
254,174481,9,33386,0,0
343,286293,6,35133,1,0
198,286386,5,22010,1,0
390,499370,11,31957,0,0
344,465659,10,11040,1,0
288,348185,14,22006,0,0
224,332725,14,18331,0,0
319,322670,9,22297,0,0
291,392676,6,12533,1,0
288,51969,11,32672,0,0
244,155111,4,35966,2,0
314,293341,7,9683,0,0
317,412876,12,35564,0,0
382,440479,11,31026,0,0
314,405824,11,7841,0,0
258,283483,13,48254,0,0
262,104624,8,44867,1,0
406,469505,9,22304,1,0
289,126242,6,37463,0,0
341,424484,13,32151,0,0
240,401537,9,14837,1,0
251,416245,11,10594,0,0
310,458529,9,30081,0,0
62,4998,6,470,2,1
343,342231,13,24183,0,0
308,202999,8,46850,1,0
285,79301,11,35022,2,0
364,266184,5,27057,0,0
374,175354,10,46282,1,0
275,92229,8,10209,0,0
391,301051,6,14947,0,0
327,285612,10,13947,1,0
273,466885,9,23982,1,0
222,427816,7,20960,0,0
273,269861,10,6001,1,0
260,128222,7,28308,0,0
288,103268,12,42419,1,0
373,347190,10,8956,0,0
316,494191,12,25173,0,0
272,95272,11,14706,1,0
299,469065,6,12370,0,0
284,318512,10,25746,0,0
331,380929,8,39457,1,0
255,394855,14,21709,1,0
422,107716,9,39949,2,0
373,252053,18,22653,0,0
274,99104,11,20103,2,0
377,487785,12,48646,0,0
394,412130,6,27394,0,0
372,499662,9,19693,0,0
310,306677,13,43248,1,0
304,403299,8,25470,0,0
283,308916,6,48116,1,0
