packet_size,num_packets,duration,bytes_sent,bytes_received,target
453,13,125,26259,296038,0
302,55,183,10793,296404,0
483,25,77,32005,203484,0
758,17,55,27794,339192,0
85,7,47,1183,2834,1
865,73,82,41609,305688,0
827,47,271,33369,208128,0
1238,60,152,29087,152811,0
1053,90,67,22373,339272,0
1476,51,111,20271,84397,0
827,32,77,18947,442208,0
65,2,31,2032,1844,1
540,71,43,22438,486742,0
179,8,26,2043,2224,1
1476,18,116,11344,131938,0
390,76,196,20812,245497,0
294,31,216,20649,319496,0
1225,81,261,21087,298503,0
372,21,197,47512,286187,0
884,51,113,16944,450890,0
1274,81,297,45703,116197,0
209,14,261,45123,450826,0
1023,54,3,44233,486542,0
1263,59,116,33572,161718,0
994,22,75,28864,398091,0
298,45,42,49199,176479,0
200,77,20,23691,228267,0
1479,46,27,5726,128077,0
452,96,269,42383,446489,0
1277,21,161,33939,478276,0
612,52,149,26300,284231,0
1271,38,126,27424,396532,0
130,9,46,1795,923,1
391,13,181,21766,144776,0
643,80,38,39624,479392,0
1077,19,293,29000,218616,0
360,64,100,35119,261509,0
255,81,203,9213,120269,0
675,92,132,6589,413265,0
236,75,117,35654,287113,0
304,36,223,15576,462512,0
1066,45,262,15516,179887,0
768,34,247,49789,161541,0
822,31,86,33038,214044,0
684,99,232,11142,90695,0
349,94,121,11031,265516,0
1192,54,142,6998,75675,0
111,1,11,3283,3843,1
325,66,198,38290,291503,0
97,1,20,2253,3857,1
1454,88,177,49864,86320,0
1342,41,66,9727,409232,0
951,34,281,12368,270462,0
688,80,291,11317,437699,0
989,70,95,44332,287501,0
1120,34,116,21715,485928,0
1154,31,52,37174,224870,0
1170,69,256,13068,322595,0
537,15,121,38866,239699,0
710,87,186,6283,356749,0
1356,77,101,18893,294629,0
687,19,14,43814,358362,0
228,72,111,8802,374404,0
224,49,2,48111,211121,0
871,18,122,20906,362660,0
1457,96,82,36655,113811,0
98,5,14,736,3977,1
478,64,282,30879,145556,0
684,50,61,36128,434583,0
601,47,118,9079,401224,0
740,98,147,47864,440642,0
172,6,40,3394,2473,1
1262,55,169,20193,65534,0
1228,19,219,22622,313013,0
737,75,286,41576,309904,0
1052,86,209,27173,472277,0
1335,17,72,46689,460180,0
195,4,4,2203,4982,1
588,85,60,27736,188368,0
1322,78,164,8311,369759,0
741,87,198,46430,62356,0
60,7,8,2977,571,1
441,14,111,14587,158042,0
853,41,104,12006,283192,0
1494,15,37,42711,476199,0
1297,72,148,45697,144767,0
1053,46,115,24539,83276,0
188,3,19,2140,2067,1
1386,21,8,37272,262802,0
1171,94,136,17497,270357,0
72,8,34,152,992,1
1220,99,65,15582,139116,0
852,59,258,45510,263808,0
1157,85,131,31170,93309,0
1175,18,125,6125,351265,0
1260,39,36,35795,426087,0
176,3,48,3902,3196,1
600,43,228,18615,465842,0
607,82,264,49409,445826,0
1330,59,59,11530,73989,0
386,42,277,25961,319956,0
934,93,129,48171,246375,0
918,95,127,19562,300144,0
899,29,73,27432,422282,0
1256,24,299,38209,127960,0
750,89,254,10744,439570,0
919,79,284,10433,178389,0
387,73,44,11416,346208,0
1015,23,85,38623,478733,0
416,81,165,46855,310220,0
189,7,34,3362,2091,1
306,34,228,25360,235388,0
200,62,47,46420,338107,0
1319,71,130,6141,191650,0
354,39,259,29995,269571,0
1322,54,97,29842,147718,0
165,8,29,4234,4058,1
94,1,43,3965,3047,1
1244,14,202,5258,68990,0
365,41,148,49452,197026,0
234,68,256,25538,434890,0
591,95,198,15487,322355,0
839,76,69,26180,350546,0
769,66,149,11439,71644,0
1119,71,168,32233,297536,0
1476,72,70,38002,194989,0
855,30,244,40426,383713,0
240,97,184,46869,202353,0
468,20,12,41268,353472,0
1208,91,188,5358,279577,0
812,11,294,28952,205604,0
132,6,25,4759,2794,1
709,38,152,9378,480942,0
1090,27,277,24595,465763,0
530,11,207,9135,348225,0
1083,60,107,21288,116668,0
402,97,18,16590,180970,0
991,60,204,16439,315786,0
246,33,182,39773,313844,0
704,20,153,41674,386047,0
824,69,7,49283,225121,0
1354,27,277,37327,69991,0
1272,16,167,27054,80106,0
1371,94,239,11581,493790,0
1052,84,173,42496,343925,0
881,15,231,18392,218197,0
1095,41,252,19138,197595,0
201,65,159,48355,488242,0
107,4,29,876,4608,1
173,3,43,2882,1221,1
207,57,178,13547,64955,0
795,27,82,24554,178467,0
953,81,62,30372,302100,0
1202,62,272,7282,444754,0
289,48,92,39704,134526,0
165,8,2,2243,814,1
631,21,160,34504,439959,0
666,19,35,18937,392504,0
389,50,269,33365,463274,0
950,79,152,17869,62360,0
641,34,253,29323,384971,0
960,64,13,14569,301671,0
1211,70,96,13767,141649,0
745,80,220,20233,339662,0
185,3,8,325,1370,1
724,31,150,29306,127603,0
953,91,269,26826,303091,0
109,8,13,3473,2299,1
1075,63,217,39631,435633,0
257,85,174,44105,232003,0
1409,88,200,30552,339134,0
1028,41,226,29566,393276,0
435,61,188,31917,249886,0
696,56,80,23693,278634,0
579,26,103,11313,191880,0
1096,92,71,36259,412916,0
774,85,118,39396,463089,0
634,38,161,30682,216508,0
1063,58,156,49619,360001,0
1078,76,107,44864,247227,0
881,81,192,20282,59171,0
501,11,36,47092,314852,0
739,86,278,6098,334013,0
1269,59,106,31654,56968,0
376,71,42,44673,340374,0
599,79,12,15058,438518,0
1119,24,213,48949,300216,0
600,20,109,27440,63261,0
1464,56,114,25980,378876,0
317,56,162,28545,151948,0
1180,21,49,18146,228207,0
963,38,146,42291,150336,0
931,42,171,24810,283540,0
1326,12,211,19721,73091,0
217,18,149,27190,255776,0
1277,45,159,49757,343851,0
1112,20,228,33064,480179,0
274,89,66,43011,377192,0
597,24,173,6960,342253,0
1025,12,230,15913,416389,0
1495,49,281,45603,411447,0
1491,24,76,31957,80099,0
1070,78,157,27746,486679,0
1281,45,14,8134,209034,0
293,68,288,33797,175355,0
369,61,261,7808,90387,0
180,6,22,4070,1729,1
264,38,293,14122,100081,0
145,2,2,1547,2020,1
1054,35,265,10374,268512,0
237,17,150,35502,266101,0
289,64,238,18379,93954,0
1195,34,266,29765,375905,0
216,83,241,9492,377602,0
1063,81,119,5141,286994,0
479,69,167,49363,186213,0
1427,83,141,18703,69477,0
1327,90,172,39542,301514,0
1383,85,53,9249,142764,0
652,26,92,27852,377031,0
655,12,288,31910,126872,0
1220,55,26,20037,118323,0
359,19,97,7169,379104,0
1448,63,19,19140,378785,0
1282,59,243,47870,245877,0
844,17,84,18324,285595,0
966,26,271,49900,241051,0
1281,64,158,47849,338544,0
1076,58,243,25093,87158,0
1336,63,213,34492,327561,0
467,85,82,8167,79493,0
1394,91,1,13787,105841,0
1336,30,199,37808,279206,0
321,32,243,5282,402414,0
268,68,107,38002,326531,0
1298,46,79,13556,172332,0
655,62,264,48553,435893,0
185,7,40,209,848,1
1082,41,87,44779,434010,0
407,28,118,47752,490284,0
1466,77,69,39518,496790,0
536,26,84,35499,217527,0
208,54,172,5193,195342,0
350,70,77,29370,263606,0
128,5,15,3257,3264,1
261,22,252,44420,422185,0
942,32,218,7659,395740,0
51,2,11,3358,3978,1
432,88,152,7257,271135,0
1276,34,117,14277,134700,0
220,81,100,41632,389371,0
233,74,3,17237,438793,0
1129,65,251,14794,208763,0
1414,65,124,24337,382965,0
975,51,28,26953,325011,0
1412,26,253,16172,292188,0
1215,98,83,12597,181184,0
559,70,261,6316,454303,0
162,5,24,2885,1756,1
452,58,228,49918,285796,0
1048,91,155,10619,389933,0
434,70,43,43635,313450,0
1134,82,79,6207,197265,0
557,86,285,25131,93764,0
1080,26,221,33278,322895,0
116,5,20,4361,3479,1
884,38,106,42822,434193,0
764,87,231,35129,195051,0
595,71,21,24218,109778,0
343,74,60,15238,400373,0
115,1,48,4231,3485,1
993,53,270,25808,424044,0
1418,74,164,10808,397220,0
949,42,117,29472,147406,0
962,38,152,19087,347986,0
876,37,293,36921,157237,0
1011,95,198,24611,130201,0
1292,12,29,6140,140265,0
457,35,263,31417,142036,0
1415,18,50,7307,257793,0
1430,41,192,46627,499920,0
875,96,213,9857,367777,0
1405,56,119,21499,134381,0
222,17,151,44748,454470,0
1276,35,151,43244,312318,0
963,51,120,21021,471217,0
1221,48,164,14346,277135,0
660,50,295,23514,231561,0
1245,76,119,42755,258859,0
1219,94,263,9648,242029,0
1037,49,288,33669,92291,0
1348,95,248,38154,116216,0
1491,94,101,36778,313031,0
226,87,11,17605,372286,0
1071,11,24,24584,328385,0
1448,50,3,26174,355505,0
1203,94,114,14428,142268,0
1046,23,279,14171,473291,0
935,86,150,46160,406007,0
545,10,263,17466,291133,0
238,29,149,20072,243984,0
139,3,37,4243,4371,1
1474,32,10,40323,422397,0
1153,55,277,43115,311445,0
1094,22,11,38905,314237,0
701,89,191,49716,60442,0
898,62,224,13259,168474,0
262,21,14,38204,205242,0
584,73,101,28071,398808,0
547,77,273,10845,467567,0
203,13,248,44382,173130,0
1212,42,7,44758,138791,0
517,45,102,39228,298922,0
1450,10,170,33933,487100,0
1158,49,118,15207,385932,0
525,96,267,43458,92056,0
888,55,243,35750,224875,0
1083,60,154,12461,397235,0
353,48,25,23990,233887,0
1475,60,171,11450,173765,0
1004,38,185,14528,189227,0
1014,49,222,32810,312043,0
141,4,45,2540,2931,1
316,31,158,22858,120305,0
1251,40,276,26447,143783,0
298,56,39,33276,250191,0
1292,21,68,7011,250339,0
1367,46,203,33308,380280,0
1391,95,221,32734,343946,0
1060,52,270,31167,457010,0
1352,66,282,32516,266204,0
89,2,28,3813,3629,1
214,45,130,37602,105745,0
1102,35,287,19376,322872,0
129,6,19,2992,4424,1
126,8,33,2248,775,1
181,8,13,2111,827,1
1452,47,149,17866,249570,0
333,34,288,22611,463090,0
855,79,224,47727,388089,0
1286,64,1,6089,451415,0
1323,49,159,48936,420416,0
712,92,163,20434,237256,0
1446,58,69,5557,180356,0
366,23,87,29217,274490,0
1040,20,240,31515,443708,0
1262,18,209,18395,475061,0
863,10,129,11816,232385,0
1066,43,34,42772,206989,0
1080,31,97,29968,90142,0
372,88,32,25536,309480,0
1099,43,192,10842,396918,0
578,14,161,15693,464758,0
417,64,20,16951,267400,0
201,83,102,21232,293588,0
1239,24,149,11591,200653,0
1443,60,79,22297,368552,0
205,84,284,36131,193888,0
914,84,89,17721,452575,0
1246,83,227,17145,113610,0
312,18,291,19849,321400,0
833,29,73,21743,120533,0
71,5,12,291,4408,1
1249,93,250,28554,296356,0
120,1,16,3203,3935,1
282,88,202,21237,224499,0
835,20,49,39888,336762,0
148,6,16,1394,2147,1
310,12,245,14821,403827,0
1386,43,152,7800,315976,0
932,46,87,42529,215582,0
1027,13,36,24086,83872,0
543,72,220,22071,163000,0
689,68,130,21977,391102,0
1099,44,70,22508,474032,0
343,80,90,35483,241387,0
841,61,267,45572,84681,0
179,2,49,369,2004,1
659,47,250,7591,134703,0
513,36,286,32997,396184,0
1440,48,121,40596,58024,0
958,50,232,18767,242816,0
520,46,121,25584,135774,0
1477,97,130,23284,455105,0
1391,80,51,17991,79084,0
736,29,98,48791,284473,0
1347,97,271,14168,488823,0
1068,15,189,29322,55039,0
847,36,285,27433,462009,0
1388,63,220,33753,196510,0
401,24,93,30817,484532,0
1231,71,213,33182,145667,0
652,63,291,9912,369793,0
233,35,167,20493,246846,0
721,30,287,12069,398754,0
1251,87,89,10075,53696,0
1216,48,1,18230,437025,0
448,84,260,46157,375203,0
535,35,190,16826,109722,0
1035,47,153,5778,439770,0
669,63,161,34075,387859,0
1322,25,47,22569,327667,0
938,95,173,31132,75991,0
1160,54,178,21843,420858,0
98,6,8,3316,1386,1
654,39,17,30232,484383,0
227,26,28,6401,224442,0
1133,18,213,17413,166506,0
994,29,5,7454,255743,0
925,85,184,13179,331854,0
617,40,183,8236,429270,0
648,31,4,14227,156133,0
234,98,66,31475,109234,0
442,17,79,49245,448342,0
55,4,22,1003,807,1
204,71,237,42437,347142,0
887,96,49,22709,88578,0
800,44,2,20036,205344,0
926,26,279,22154,476150,0
479,68,21,12851,158946,0
111,9,32,505,4822,1
344,42,65,16950,320784,0
1329,31,78,39716,52187,0
1358,17,146,35519,424374,0
715,21,99,42226,137051,0
1022,44,132,20369,193927,0
806,56,229,11588,65088,0
711,84,55,39610,450479,0
193,5,24,4015,1567,1
756,40,63,24330,150755,0
597,36,264,12418,201094,0
438,29,205,47838,73199,0
976,92,14,49517,104110,0
1413,96,5,35373,325194,0
132,3,30,2530,4468,1
1259,69,287,13472,248784,0
804,68,229,44919,96220,0
1341,82,206,23019,181060,0
289,65,95,13605,416142,0
825,33,50,43211,290341,0
1155,84,177,44901,208117,0
564,27,21,23199,79345,0
1030,87,184,23135,55520,0
1439,30,165,25132,356083,0
780,98,164,8267,379535,0
1438,68,200,5882,440277,0
867,49,258,15433,444350,0
1031,31,225,14752,481069,0
1304,82,93,37762,455818,0
786,60,10,31512,187686,0
1496,41,86,31853,397424,0
1026,75,20,39324,284864,0
1047,47,49,21211,131257,0
549,15,68,28303,170076,0
1454,49,176,15412,176310,0
858,64,146,40634,194228,0
1436,68,233,41976,304024,0
366,96,190,44852,299880,0
984,56,50,25180,176270,0
585,26,152,30188,85063,0
592,20,86,22761,317866,0
1161,83,58,8744,118368,0
537,83,68,15332,99976,0
1215,62,112,43454,313158,0
183,3,27,944,2217,1
1407,16,133,6492,96002,0
883,77,223,49333,217849,0
983,37,235,16390,322422,0
1450,81,126,6088,473159,0
419,66,110,29173,141328,0
696,91,109,17743,78884,0
480,73,90,27005,73408,0
823,42,76,40205,126709,0
937,13,116,10571,478745,0
1368,46,38,46971,180299,0
153,5,46,948,3613,1
1084,58,48,43975,185189,0
143,4,17,1730,2963,1
587,39,14,37994,143344,0
97,6,15,4555,1326,1
832,20,245,16002,331293,0
514,53,192,9025,257772,0
763,49,65,37698,162492,0
1005,82,20,25074,228634,0
464,19,192,19852,260722,0
213,46,41,37220,97153,0
85,2,42,3059,2306,1
140,2,36,3299,655,1
1050,14,130,31485,126361,0
161,3,26,787,2256,1
928,49,138,10498,72931,0
1159,46,258,10463,101001,0
777,67,228,24008,325796,0
703,35,42,38398,86468,0
1216,96,74,23230,212627,0
1056,71,262,30150,339220,0
88,5,17,3542,3909,1
1403,89,130,38210,365891,0
150,5,40,2937,997,1
812,19,226,29364,353664,0
453,71,241,38539,228048,0
1467,73,21,13004,408402,0
194,5,23,546,3572,1
1191,74,190,43392,356958,0
975,27,14,41575,451062,0
180,3,9,3209,3286,1
891,24,99,45992,143500,0
970,38,158,36897,235194,0
310,39,98,49724,356081,0
493,52,43,47946,307906,0
476,70,32,38487,431783,0
742,81,214,29770,211081,0
596,48,227,39919,430634,0
113,4,20,326,1788,1
285,89,17,25307,99170,0
675,97,288,29045,156121,0
70,9,35,1334,4291,1
848,99,132,9493,448172,0
177,7,1,2042,1198,1
995,38,169,29264,418226,0
838,97,248,31672,419360,0
139,2,44,319,4937,1
294,24,74,44890,111753,0
702,17,217,42396,72601,0
1080,60,39,22862,375497,0
656,29,57,36566,272542,0
240,22,12,33795,414115,0
1157,58,128,16120,77798,0
1208,53,12,16738,460051,0
242,78,51,33099,491732,0
389,23,183,26162,343125,0
1296,73,220,34320,240920,0
710,69,211,12190,404852,0
842,36,151,38160,178727,0
291,71,130,35930,289173,0
845,60,161,26778,442866,0
1096,82,25,27967,443605,0
141,4,40,3418,3305,1
963,72,290,38110,445395,0
573,39,13,41469,60103,0
310,86,125,35116,193279,0
866,21,231,30599,67413,0
1438,53,93,6898,300541,0
277,81,142,33172,149977,0
762,49,40,21154,379437,0
889,80,260,27052,331696,0
997,67,104,15350,327068,0
1113,41,154,34033,238221,0
380,10,232,49299,330519,0
745,93,113,20372,381607,0
913,18,266,7384,353387,0
1345,67,283,16528,366462,0
1183,11,240,48408,394866,0
312,64,85,28852,158117,0
1015,16,202,22839,269526,0
1482,27,236,25620,141176,0
717,28,102,22740,277189,0
1309,12,117,10906,344442,0
1212,18,73,47409,158125,0
549,24,44,23156,213187,0
951,54,281,13549,136346,0
424,54,297,37793,434092,0
1397,34,28,25878,330833,0
1341,21,268,12659,101831,0
1322,34,160,13491,235917,0
777,46,220,9088,340626,0
1309,14,90,23351,135744,0
634,35,113,37402,337644,0
108,6,26,4226,4704,1
996,76,137,49760,202297,0
1288,48,86,40548,422461,0
1033,43,237,45486,63689,0
698,57,191,23800,267813,0
984,96,215,37402,345064,0
929,99,221,36600,390676,0
966,52,129,26125,134289,0
861,84,49,11155,134607,0
1456,57,135,37792,94816,0
724,52,142,28383,157096,0
78,8,43,4874,642,1
397,63,117,12156,149003,0
1366,99,151,14764,54138,0
425,41,138,36337,266232,0
1443,42,188,20114,442573,0
759,35,276,25384,199696,0
702,35,8,15449,186039,0
584,44,85,28567,84540,0
1424,79,51,30634,154601,0
1446,79,267,33226,349471,0
303,72,121,11716,57415,0
896,53,25,45379,313625,0
111,9,30,4206,4257,1
260,89,280,6519,396658,0
106,5,7,4431,3453,1
1435,83,5,15704,281324,0
1035,22,74,48369,371335,0
1238,47,290,11701,393194,0
1128,57,30,33220,103053,0
1460,82,266,41129,422047,0
1344,69,106,32747,405926,0
881,98,188,14083,311545,0
958,93,47,44129,178128,0
153,7,22,961,3916,1
672,72,2,19868,275391,0
1124,98,128,27031,379231,0
128,6,17,749,3309,1
960,10,35,10832,112061,0
227,90,154,49617,202185,0
131,4,20,1136,3186,1
875,76,50,26281,415567,0
845,15,254,46475,100940,0
1418,34,260,20206,174116,0
319,48,82,41027,316317,0
111,9,17,1930,2004,1
1456,25,113,23951,334769,0
1256,97,175,48056,238799,0
1497,17,86,39926,490437,0
968,91,56,47138,156464,0
416,51,196,20996,375019,0
606,14,285,11370,461236,0
884,26,119,10590,205489,0
1383,38,84,13770,421994,0
1446,16,58,26729,86413,0
246,14,238,8363,247467,0
1322,26,70,21566,403973,0
1076,63,180,12446,387369,0
106,3,39,1352,4734,1
427,42,144,10818,250796,0
1214,58,263,16093,95095,0
413,12,217,15860,282076,0
717,79,111,29035,135178,0
765,62,264,6875,365018,0
649,16,129,20717,448499,0
446,51,110,26312,370146,0
338,53,42,38840,50717,0
1189,16,211,32990,206470,0
504,40,84,27785,112021,0
1156,96,19,34538,271883,0
1183,89,259,17180,469705,0
1401,49,44,6381,269128,0
939,28,3,37955,162935,0
1078,77,254,27760,143526,0
246,62,196,39587,362863,0
1329,45,42,41788,84675,0
823,22,108,33803,464170,0
111,6,30,629,1617,1
1230,20,218,42261,311798,0
1221,23,133,32716,446981,0
1315,47,30,45312,115942,0
1242,38,221,49695,176155,0
931,22,108,43010,264176,0
188,4,29,1674,2248,1
52,5,38,1979,1410,1
79,1,1,683,4182,1
1171,90,269,34218,173030,0
823,76,277,25963,295017,0
925,20,148,15293,474170,0
1082,36,186,17449,166214,0
947,75,76,25447,454015,0
1417,29,38,35386,236633,0
93,6,46,1626,3483,1
1443,71,181,7490,377762,0
1480,47,196,21923,484821,0
579,24,156,11980,275898,0
253,56,26,45197,197745,0
1295,99,229,42713,260124,0
1172,10,159,18686,365665,0
1374,71,284,15485,262954,0
1157,10,18,25095,487470,0
857,52,109,34535,53849,0
641,64,143,16240,205801,0
1076,51,231,7951,412441,0
731,28,164,36226,476488,0
1042,18,154,9426,373654,0
794,47,294,35431,252160,0
186,6,44,3236,3573,1
1219,56,47,37441,300819,0
1362,42,119,42346,126253,0
1355,12,292,33398,437988,0
603,10,214,47070,322919,0
383,30,138,33694,476044,0
372,44,140,19482,223123,0
250,73,273,38996,385377,0
596,88,178,5785,168639,0
1145,13,261,44410,386960,0
923,34,8,16704,299664,0
859,38,275,28852,251165,0
1350,65,67,18467,489030,0
1003,18,21,24604,173364,0
1001,90,66,15233,415735,0
833,36,100,27161,106358,0
624,99,59,22908,472132,0
1071,29,158,21789,223423,0
1295,19,131,16116,125451,0
1228,69,182,43861,273861,0
1108,62,229,10185,455841,0
113,8,3,4066,2496,1
670,46,203,17935,316161,0
332,36,75,31586,347242,0
691,97,232,12269,226872,0
297,22,251,21209,199524,0
913,69,230,44323,230903,0
618,75,245,5155,161086,0
725,73,143,39441,353602,0
1058,24,118,48148,474390,0
1349,70,164,41703,110272,0
903,10,289,21390,426047,0
928,41,232,25219,457472,0
515,94,293,16739,273564,0
389,43,268,6529,343577,0
1301,12,163,20887,364069,0
308,42,57,8866,237125,0
343,80,292,24900,355142,0
763,99,145,14031,455513,0
674,69,295,36852,303317,0
393,69,167,48615,228969,0
652,41,298,26909,403646,0
1177,22,164,5138,154092,0
1037,62,31,25456,126240,0
1022,35,143,18749,346063,0
746,57,42,49602,466280,0
1270,28,173,49014,171950,0
604,97,186,43333,461473,0
990,78,134,23626,218636,0
1340,76,172,5276,128513,0
1072,39,52,31762,374264,0
430,22,76,17109,462918,0
765,23,287,5587,123402,0
1169,26,86,47261,358307,0
908,69,72,45591,207221,0
406,83,175,20223,208485,0
103,8,15,2635,2190,1
595,23,10,31421,372854,0
432,11,112,7745,283612,0
58,7,47,4235,2348,1
902,60,195,46945,388365,0
898,47,131,13016,422251,0
969,74,4,38380,318083,0
1448,95,73,12230,201385,0
846,73,8,31819,93527,0
862,25,256,24840,453777,0
1135,38,101,22514,385299,0
446,84,154,14885,237647,0
292,27,295,27056,163650,0
537,58,106,28132,482680,0
247,80,107,30351,159814,0
1097,35,84,5645,291131,0
1146,12,227,16908,473914,0
235,67,208,10889,407246,0
404,28,118,29427,445807,0
274,96,183,10738,317247,0
1005,90,113,36331,163499,0
676,94,68,21018,413898,0
873,23,254,19027,341071,0
298,64,208,45583,304205,0
997,48,251,30394,361537,0
211,16,63,11139,430392,0
890,35,273,13036,204692,0
111,5,38,1766,998,1
1226,54,161,36881,381310,0
1098,85,213,16308,327954,0
659,68,108,22543,140453,0
808,61,203,35600,244886,0
909,30,102,18074,156611,0
833,81,138,41304,354281,0
646,38,198,7224,359550,0
687,75,256,47903,351338,0
637,73,24,29142,222166,0
1419,54,246,6932,125277,0
938,95,81,41021,53453,0
733,26,57,43342,476070,0
334,56,181,41598,175681,0
1475,14,105,38132,313957,0
940,33,216,39591,231517,0
1060,42,150,24206,307125,0
171,8,49,4681,1634,1
89,5,12,1981,3162,1
710,99,256,27190,446210,0
1276,16,175,23710,337516,0
663,58,141,49096,111844,0
886,44,237,13438,379612,0
723,36,36,32364,328466,0
644,66,42,17452,95833,0
673,56,146,31039,267060,0
1156,32,40,13315,285419,0
463,26,292,36705,199359,0
720,47,20,17576,451927,0
219,96,158,41636,332727,0
519,60,210,13682,407574,0
1293,15,78,46862,411719,0
670,51,3,9658,462672,0
545,55,213,29972,425197,0
351,87,220,25389,397139,0
330,93,293,28551,174932,0
327,47,160,8760,189784,0
279,14,39,15503,381356,0
1030,63,291,33011,421513,0
949,60,149,42465,161435,0
883,66,279,48472,495376,0
1369,86,66,37245,445136,0
164,6,7,1545,4985,1
455,47,144,29297,379041,0
562,50,196,46346,361442,0
656,48,242,5340,101913,0
108,5,20,2132,1382,1
898,55,233,14429,268800,0
325,63,98,41982,150546,0
1343,75,9,7261,172808,0
644,14,169,24503,405171,0
317,67,44,26607,213202,0
416,50,49,11142,304511,0
1308,31,260,13244,481722,0
402,11,12,34165,446087,0
448,62,120,35154,405566,0
353,91,186,12927,138835,0
816,69,219,7352,488486,0
1196,72,154,20373,120843,0
275,65,105,6307,82088,0
405,27,163,23888,337995,0
314,33,62,20848,393630,0
699,66,136,23354,415205,0
715,15,20,25936,383840,0
252,15,254,34796,292998,0
352,12,49,24835,349188,0
1384,33,105,10906,359262,0
1384,14,5,40820,474097,0
484,23,231,35403,295809,0
1482,55,98,34304,95740,0
762,44,143,8828,407886,0
107,3,20,2253,3328,1
322,91,293,35462,99812,0
856,68,166,15213,331063,0
